19-04-19.15:52:30.590 [main            ] DEBUG ClasspathLoggingApplicationListener  - Application started with classpath: [file:/C:/Users/k2/AppData/Local/Temp/surefire6807984104814087021/surefirebooter1989430448502499324.jar]
19-04-19.15:52:30.635 [background-preinit] DEBUG ResourceBundleMessageInterpolator  - Loaded expression factory via original TCCL
19-04-19.15:52:30.643 [background-preinit] DEBUG ValidatorFactoryImpl    - HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
19-04-19.15:52:30.643 [background-preinit] DEBUG ValidatorFactoryImpl    - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
19-04-19.15:52:30.644 [background-preinit] DEBUG ValidatorFactoryImpl    - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
19-04-19.15:52:30.644 [background-preinit] DEBUG ValidatorFactoryImpl    - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
19-04-19.15:52:30.644 [background-preinit] DEBUG ValidatorFactoryImpl    - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
19-04-19.15:52:30.677 [main            ] INFO  KbcTemplateApplicationTests  - Starting KbcTemplateApplicationTests on DESKTOP-ULT1APT with PID 22472 (started by k2 in D:\myCode\1\kbc-demo)
19-04-19.15:52:30.677 [main            ] DEBUG KbcTemplateApplicationTests  - Running with Spring Boot v2.1.3.RELEASE, Spring v5.1.5.RELEASE
19-04-19.15:52:30.677 [main            ] INFO  KbcTemplateApplicationTests  - No active profile set, falling back to default profiles: default
19-04-19.15:52:30.678 [main            ] DEBUG SpringApplication       - Loading source class com.k2data.kbc.Application
19-04-19.15:52:30.724 [main            ] DEBUG ConfigFileApplicationListener  - Loaded config file 'file:/D:/myCode/1/kbc-demo/target/classes/application.properties' (classpath:/application.properties)
19-04-19.15:52:30.725 [main            ] DEBUG GenericWebApplicationContext  - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@29d80d2b
19-04-19.15:52:30.752 [main            ] DEBUG DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
19-04-19.15:52:30.834 [main            ] DEBUG DefaultListableBeanFactory  - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
19-04-19.15:52:30.922 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: file [D:\myCode\1\kbc-demo\target\classes\com\k2data\kbc\announce\controller\AnnounceController.class]
19-04-19.15:52:30.931 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: file [D:\myCode\1\kbc-demo\target\classes\com\k2data\kbc\announce\service\AnnounceService.class]
19-04-19.15:52:30.936 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: file [D:\myCode\1\kbc-demo\target\classes\com\k2data\kbc\api\KbcExceptionHandler.class]
19-04-19.15:52:30.940 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: file [D:\myCode\1\kbc-demo\target\classes\com\k2data\kbc\audit\Utils\SpringContextHolder.class]
19-04-19.15:52:30.946 [main            ] DEBUG ClassPathBeanDefinitionScanner  - Identified candidate component class: file [D:\myCode\1\kbc-demo\target\classes\com\k2data\kbc\audit\aspects\AppLogAspect.class]
